"row_id" "bdmId" "NInCat" "hostFlag" "x" "y" "z" "np" "Mvir" "Mtot" "Rvir" "conc"
"1" 1 41605007804 5007804 -1 17.8969993591309 184.095703125 101.635696411133 41 5555999744 5555999744 0.0368000008165836 4.72700023651123
"2" 2 41605010374 5010374 -1 22.7134990692139 184.62109375 101.612197875977 20 2710000128 2710000128 0.0288999993354082 5.08400011062622
"3" 3 41605008614 5008614 -1 26.4423007965088 181.893997192383 101.955703735352 268 36320002048 36320002048 0.0687000006437302 11.9899997711182
"4" 4 41605004044 5004044 -1 27.7467994689941 181.152099609375 101.946601867676 20 2710000128 2710000128 0.0288999993354082 3.09400010108948
"5" 5 41605013334 5013334 -1 24.6544990539551 187.431198120117 100.495903015137 34 4607000064 4607000064 0.0344999991357327 7.79899978637695
"6" 6 41605005084 5005084 -1 24.4990997314453 183.918899536133 101.305999755859 89 12060000256 12199999488 0.047800000756979 15.3599996566772
"7" 7 41605011794 5011794 -1 25.2854995727539 183.849792480469 101.558502197266 29 3929999872 3929999872 0.0326999984681606 12.789999961853
"8" 8 41603172554 3172554 41603172552 24.6615009307861 185.459106445312 98.7590026855469 51 6911000064 1.68e+10 0.00920000020414591 2.17400002479553
"9" 9 41603180844 3180844 -1 24.1404991149902 186.49690246582 99.0598983764648 21 2846000128 2846000128 0.0292000006884336 4.00099992752075
"10" 10 41603177584 3177584 -1 23.7854995727539 186.392105102539 98.3365020751953 154 20870000640 21680001024 0.0579000003635883 12.7299995422363
"11" 11 41603178834 3178834 -1 23.5153999328613 187.327896118164 97.9981002807617 725 98240004096 102599999488 0.0970999971032143 15.1300001144409
"12" 12 41603178824 3178824 -1 24.7134990692139 186.188995361328 97.9392013549805 33 4.472e+09 4.472e+09 0.0339000001549721 9.09799957275391
"13" 13 41603179014 3179014 41603149167 27.3356990814209 185.684600830078 98.0278015136719 27 3659000064 4743000064 0.0266999993473291 7.4229998588562
"14" 14 41603170924 3170924 -1 26.3202991485596 183.990203857422 97.7985992431641 24 3.252e+09 3.388e+09 0.031199999153614 9.80099964141846
"15" 15 41603171264 3171264 -1 26.519100189209 184.03059387207 97.8840026855469 742 100499996672 104100003840 0.0974999964237213 15.0600004196167
"16" 16 41603169454 3169454 -1 26.7943992614746 183.793899536133 97.9921035766602 23 3.116e+09 3.116e+09 0.0303000006824732 4.9689998626709
"17" 17 41603157634 3157634 -1 27.1266994476318 186.42790222168 99.7398986816406 473 64090001408 73040003072 0.0866999998688698 8.40299987792969
"18" 18 41603153594 3153594 -1 27.6693992614746 186.832504272461 99.7251968383789 31 4200999936 4.336e+09 0.0337999984622002 28.8700008392334
"19" 19 41603155094 3155094 -1 27.8362998962402 185.916198730469 99.7661972045898 110 14899999744 14899999744 0.0511000007390976 24.1000003814697
"20" 20 41603153054 3153054 -1 28.7280006408691 186.528701782227 99.8460998535156 46 6232999936 6911000064 0.0395999997854233 8.97599983215332
"21" 21 41603156624 3156624 -1 28.4248008728027 186.919906616211 99.7798004150391 981 132900003840 1.472e+11 0.109499998390675 15.4899997711182
"22" 22 41604996314 4996314 -1 30.2528991699219 187.499801635742 100.065101623535 20 2710000128 2710000128 0.0288999993354082 11.3599996566772
