p1 p2 p3 p4 p5 p6 p7 p8 p9 p10 p11 class
1 1.29e-03 2.02e-02 1.69e-04 1.42e-03 1.01e-04 9.69e-01 1.41e-04 4.79e-04 4.03e-04 9.90e-05 7.04e-03  6
2 3.70e-03 9.42e-01 2.81e-04 7.13e-03 3.34e-04 1.05e-02 2.76e-04 2.28e-02 2.60e-03 2.76e-04 9.82e-03  2
3 6.39e-03 8.96e-01 4.90e-04 1.40e-02 6.28e-04 2.12e-02 4.76e-04 3.80e-02 4.33e-03 5.30e-04 1.76e-02  2
4 2.83e-02 2.92e-02 1.40e-03 1.12e-01 2.83e-03 4.70e-03 1.53e-03 7.29e-01 4.39e-02 2.45e-03 4.39e-02  8
5 2.44e-02 2.86e-02 1.27e-03 1.27e-01 2.91e-03 5.05e-03 1.36e-03 7.33e-01 3.18e-02 2.49e-03 4.21e-02  8
6 1.44e-02 3.40e-02 7.68e-04 3.97e-02 1.12e-03 4.23e-03 8.09e-04 8.62e-01 2.04e-02 1.19e-03 2.19e-02  8
7 1.18e-01 1.77e-01 5.84e-03 1.05e-01 3.95e-03 2.05e-02 6.34e-03 2.20e-01 2.21e-01 5.21e-03 1.18e-01 11
8 3.20e-02 6.34e-01 2.05e-03 4.23e-02 1.85e-03 2.20e-02 2.12e-03 1.75e-01 3.13e-02 1.79e-03 5.61e-02  8
9 1.70e-01 2.69e-01 1.02e-02 8.79e-02 4.28e-03 3.46e-02 1.08e-02 7.86e-02 1.47e-01 5.55e-03 1.82e-01 11
10 3.61e-03 9.58e-01 3.19e-04 3.55e-03 1.95e-04 1.96e-02 3.01e-04 3.68e-03 1.90e-03 2.02e-04 8.98e-03  2
11 2.33e-03 9.57e-01 2.20e-04 4.67e-03 3.10e-04 1.92e-02 2.09e-04 3.56e-03 1.13e-03 1.86e-04 1.10e-02  2
12 3.64e-03 9.51e-01 3.41e-04 5.57e-03 3.71e-04 1.77e-02 3.28e-04 4.38e-03 1.76e-03 2.45e-04 1.50e-02  2
13 2.17e-04 9.97e-01 1.89e-05 3.18e-04 1.81e-05 1.37e-03 1.82e-05 4.06e-04 1.20e-04 1.44e-05 6.94e-04  2
14 7.45e-06 1.00e+00 6.83e-07 1.16e-05 6.71e-07 1.05e-04 6.42e-07 1.23e-05 3.83e-06 5.36e-07 2.63e-05  2
15 2.57e-06 1.00e+00 2.37e-07 3.88e-06 2.27e-07 3.73e-05 2.23e-07 4.00e-06 1.31e-06 1.82e-07 9.09e-06  2
16 1.68e-05 1.00e+00 1.55e-06 2.45e-05 1.45e-06 2.01e-04 1.46e-06 2.54e-05 8.59e-06 1.16e-06 5.90e-05  2
17 5.72e-05 9.99e-01 5.43e-06 7.90e-05 4.81e-06 8.25e-04 5.09e-06 7.23e-05 2.79e-05 3.86e-06 2.07e-04  2
18 5.43e-04 9.92e-01 4.85e-05 6.46e-04 3.63e-05 4.20e-03 4.58e-05 7.25e-04 2.88e-04 3.34e-05 1.56e-03  2
19 6.65e-05 9.99e-01 6.19e-06 9.16e-05 5.50e-06 7.62e-04 5.84e-06 9.01e-05 3.33e-05 4.43e-06 2.32e-04  2
