"x" "y" "z" "re" "n" "mix" "pop"
"1" 33.49 178.91 99.73 2.13 14.05 0 687.677209951062
"2" 36.69 192.39 98.82 0.88 2.85 0.95 354.360546319299
"3" 39.54 174.27 97.52 1.66 28.54 -0.37 138.440899209169
"4" 26.04 189.4 98.93 2.03 26.16 -0.14 449.038073810519
"5" 20.42 192.77 100.89 1.64 28.31 -0.53 93.6199464327916
"6" 38.67 193.93 96.25 1.37 4.02 -0.06 119.045430452392
"7" 37.4 175.35 99.49 8.68 9.15 -2.75 47.5232505758335
"8" 33.09 190.35 99.44 2 26.89 -1.43 22.6951072981404
"9" 32.82 185.53 100.04 3.82 29.99 -1.92 47.5604800067792
"10" 25.12 181.92 95.26 4.05 25.32 -1.91 47.9777690285349
"11" 0 0 0 0 0 -2.04022082852655 73.0612869154795
